Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1961","1961","ha","14461","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1961","1961","kg/ha","6396.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1961","1961","t","92500","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1962","1962","ha","14730","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1962","1962","kg/ha","6734.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1962","1962","t","99200","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1963","1963","ha","14704","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1963","1963","kg/ha","8562.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1963","1963","t","125900","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1964","1964","ha","14177","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1964","1964","kg/ha","8089.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1964","1964","t","114680","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1965","1965","ha","14179","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1965","1965","kg/ha","8301.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1965","1965","t","117710","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1966","1966","ha","14733","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1966","1966","kg/ha","7347.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1966","1966","t","108250","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1967","1967","ha","12058","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1967","1967","kg/ha","10221.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1967","1967","t","123250","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1968","1968","ha","12793","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1968","1968","kg/ha","10563.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1968","1968","t","135140","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1969","1969","ha","14490","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1969","1969","kg/ha","8187","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1969","1969","t","118630","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1970","1970","ha","14500","E","Estimated value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1970","1970","kg/ha","8327.6","E","Estimated value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1970","1970","t","120750","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1971","1971","ha","14820","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01344.02","Cherries","1971","1971","kg/ha","8180.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01344.02","Cherries","1971","1971","t","121240","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01344.02","Cherries","1972","1972","ha","15053","A","Official value",""
