Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1961","1961","ha","4507000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","1961","1961","kg/ha","956.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1961","1961","t","4312000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1962","1962","ha","4643000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","1962","1962","kg/ha","992.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1962","1962","t","4607000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1963","1963","ha","4582000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","1963","1963","kg/ha","995.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1963","1963","t","4561000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1964","1964","ha","4618000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","1964","1964","kg/ha","1010","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1964","1964","t","4664000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1965","1965","ha","4799000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","1965","1965","kg/ha","1005","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1965","1965","t","4823000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1966","1966","ha","5073800","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","1966","1966","kg/ha","964.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1966","1966","t","4893600","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1967","1967","ha","5583400","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","1967","1967","kg/ha","1122.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1967","1967","t","6269300","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1968","1968","ha","5715800","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","1968","1968","kg/ha","997.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1968","1968","t","5701100","A","Official value",""
